Round Number,Date,Location,Home Team,Away Team,Result
12,05/12/2020 15:15,Ram√≥n S√°nchez-Pizju√°n,Sevilla,Real Madrid,0 - 1
12,05/12/2020 17:30,Wanda Metropolitano,Ath Madrid,Valladolid,2 - 0
12,05/12/2020 20:00,Ram√≥n de Carranza,Cadiz,Barcelona,02-ÈÂ
12,06/12/2020 13:00,Nuevo Los C√°rmenes,Granada,Huesca,03-Ó¯ı
12,06/12/2020 15:15,Estadio El Sadar,Osasuna,Betis,0 - 2
12,06/12/2020 17:30,Estadio de la Cer√°mica,Villarreal,Elche,0 - 0
12,06/12/2020 20:00,Mendizorroza,Alaves,Sociedad,0 - 0
12,07/12/2020 20:00,Municipal de Ipurua,Elche,Valencia,0 - 0
13,11/12/2020 20:00,Estadio Municipal Jos√© Zorrilla,Valladolid,Osasuna,03-Ù·¯
13,12/12/2020 13:00,Camp de Mestalla,Valencia,Ath Bilbao,02-Ù·¯
13,12/12/2020 15:15,Coliseum Alfonso P√©rez,Getafe,Sevilla,0 - 1
13,12/12/2020 17:30,El Alcoraz,Huesca,Alaves,1 - 0
13,12/12/2020 20:00,Estadio Alfredo Di St√©fano,Real Madrid,Ath Madrid,2 - 0
13,13/12/2020 13:00,Reale Arena,Sociedad,Elche,01-ÈÂ
13,13/12/2020 15:15,Estadio Benito Villamar√≠n,Betis,Villarreal,01-ÈÂ
13,13/12/2020 17:30,Estadio Mart√≠nez Valero,Elche,Granada,0 - 1
13,13/12/2020 20:00,Camp Nou,Barcelona,Levante,1 - 0
13,14/12/2020 20:00,Estadio Abanca Bala√≠dos,Celta,Cadiz,4 - 0
13,15/12/2020 21:00,Estadio Alfredo Di St√©fano,Real Madrid,Ath Bilbao,03-ÈÂ
13,16/12/2020 20:00,Camp Nou,Barcelona,Sociedad,02-ÈÂ
14,18/12/2020 20:00,Estadio San Mam√©s,Ath Bilbao,Huesca,2 - 0
14,19/12/2020 13:00,Wanda Metropolitano,Ath Madrid,Elche,03-ÈÂ
14,19/12/2020 15:15,Camp Nou,Barcelona,Valencia,02-Ù·¯
14,19/12/2020 17:30,Estadio Ciutat de Val√®ncia,Levante,Sociedad,02-ÈÂ
14,19/12/2020 17:30,Estadio El Sadar,Osasuna,Villarreal,01-Ó¯ı
14,19/12/2020 20:00,Ram√≥n S√°nchez-Pizju√°n,Sevilla,Valladolid,01-ÈÂ
14,20/12/2020 13:00,Estadio Abanca Bala√≠dos,Celta,Alaves,2 - 0
14,20/12/2020 15:15,Nuevo Los C√°rmenes,Granada,Betis,2 - 0
14,20/12/2020 17:30,Ram√≥n de Carranza,Cadiz,Getafe,0 - 2
14,20/12/2020 20:00,Municipal de Ipurua,Elche,Real Madrid,01-Ó¯ı
15,22/12/2020 16:30,Camp de Mestalla,Valencia,Sevilla,0 - 1
15,22/12/2020 16:30,Estadio Mart√≠nez Valero,Elche,Osasuna,02-Ù·¯
15,22/12/2020 18:45,El Alcoraz,Huesca,Levante,01-ÈÂ
15,22/12/2020 18:45,Reale Arena,Sociedad,Ath Madrid,0 - 2
15,22/12/2020 21:00,Estadio Municipal Jos√© Zorrilla,Valladolid,Barcelona,0 - 3
15,22/12/2020 21:00,Estadio de la Cer√°mica,Villarreal,Ath Bilbao,01-ÈÂ
15,23/12/2020 16:30,Coliseum Alfonso P√©rez,Getafe,Celta,01-ÈÂ
15,23/12/2020 18:45,Estadio Alfredo Di St√©fano,Real Madrid,Granada,2 - 0
15,23/12/2020 21:00,Mendizorroza,Alaves,Elche,02-ÈÂ
15,23/12/2020 21:00,Estadio Benito Villamar√≠n,Betis,Cadiz,1 - 0
16,29/12/2020 16:00,Ram√≥n S√°nchez-Pizju√°n,Sevilla,Villarreal,2 - 0
16,29/12/2020 18:15,Camp Nou,Barcelona,Elche,01-ÈÂ
16,29/12/2020 20:30,Ram√≥n de Carranza,Cadiz,Valladolid,0 - 0
16,29/12/2020 20:30,Estadio Ciutat de Val√®ncia,Levante,Betis,04-Ó¯ı
16,30/12/2020 16:00,Nuevo Los C√°rmenes,Granada,Valencia,02-ÈÂ
