Round Number,Date,Location,Home Team,Away Team,Result
34,25/04/2021 21:00,Stade Bollaert-Delelis,Lens,Nimes,
34,25/04/2021 21:00,Stade du Moustoir,Lorient,Bordeaux,
34,25/04/2021 21:00,Groupama Stadium,Lyon,Lille,
34,25/04/2021 21:00,Stade Saint-Symphorien,Metz,Paris SG,
34,25/04/2021 21:00,Allianz Riviera,Nice,Montpellier,
34,25/04/2021 21:00,Stade Auguste Delaune,Reims,Marseille,
34,25/04/2021 21:00,Roazhon Park,Rennes,Dijon,
34,25/04/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Brest,
34,25/04/2021 21:00,Stade de la Meinau,Strasbourg,Nantes,
35,02/05/2021 21:00,Matmut Atlantique,Bordeaux,Rennes,
35,02/05/2021 21:00,Stade Francis-Le Bl̩,Brest,Nantes,
35,02/05/2021 21:00,Stade Gaston G̩rard,Dijon,Metz,
35,02/05/2021 21:00,Stade Pierre-Mauroy,Lille,Nice,
35,02/05/2021 21:00,Stade du Moustoir,Lorient,Angers,
35,02/05/2021 21:00,Orange V̩lodrome,Marseille,Strasbourg,
35,02/05/2021 21:00,Stade Louis II,Monaco,Lyon,
35,02/05/2021 21:00,Stade de la Mosson,Montpellier,St Etienne,
35,02/05/2021 21:00,Stade des Costi̬res,Nimes,Reims,
35,02/05/2021 21:00,Parc des Princes,Paris SG,Lens,
36,09/05/2021 21:00,Stade Raymond Kopa,Angers,Dijon,
36,09/05/2021 21:00,Stade Bollaert-Delelis,Lens,Lille,
36,09/05/2021 21:00,Groupama Stadium,Lyon,Lorient,
36,09/05/2021 21:00,Stade Saint-Symphorien,Metz,Nimes,
36,09/05/2021 21:00,Stade de la Beaujoire,Nantes,Bordeaux,
36,09/05/2021 21:00,Allianz Riviera,Nice,Brest,
36,09/05/2021 21:00,Stade Auguste Delaune,Reims,Monaco,
36,09/05/2021 21:00,Roazhon Park,Rennes,Paris SG,
36,09/05/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Marseille,
36,09/05/2021 21:00,Stade de la Meinau,Strasbourg,Montpellier,
